,PAPER_ID,Year,Title,Keywords,Abstract,SR,cr_title,cr_doi,cr_author,cr_journal,cr_score,cr_scoreauthor
511,DE OLIVEIRA ALVES MD 2013 BIOL CONSERV,2013,AERIAL SURVEY OF MANATEES DOLPHINS AND SEA TURTLES OFF NORTHEASTERN  BRAZIL CORRELATIONS WITH COASTAL FEATURES AND HUMAN ACTIVITIES,MANATEES DOLPHINS SEA TURTLES AERIAL SURVEYS NORTHEASTERN BRAZIL MARINE PROTECTED AREAS BOTTLE-NOSED DOLPHINS TRICHECHUS-MANATUSSOTALIA-GUIANENSIS HABITAT USE CONSERVATION STATUS TURSIOPS-TRUNCATUS HUMPBACK WHALES CHELONIA-MYDAS VAN-BENEDEN,THE OBJECTIVE OF THE PRESENT STUDY WAS TO ANALYZE THE DISTRIBUTION OF  MANATEES DOLPHINS AND SEA TURTLES OFF NORTHEASTERN BRAZIL THROUGH  AERIAL SURVEYS RELATING THEM TO SPECIFIC HABITATS AND HUMAN ACTIVITIES  WITH EMPHASIS ON MARINE PROTECTED AREAS MPAS. SURVEYS WERE CONDUCTED  BETWEEN JANUARY AND APRIL 2010 AT 150 M ALTITUDE AND 140 KM H-1 USING  TWO INDEPENDENT OBSERVERS. STRIP TRANSECTS WERE FLOWN IN A ZIGZAG  PATTERN. TRANSECTS COVERED 4026 KM IN MORE THAN 27 FLIGHT HOURS. A TOTAL  OF 36 SIGHTINGS OF MANATEES TRICHECHUS MANATUS MANATUS 41  INDIVIDUALS 28 OF DOLPHINS DELPHINIDAE 78 INDIVIDUALS INCLUDING 10  SOTALIA GUIANENSIS AND 256 OF SEA TURTLES CHELONIIDAE 286  INDIVIDUALS WERE RECORDED. MANATEES AND SEA TURTLES DISPLAYED SOLITARY  HABITS WHILE DOLPHINS WERE COMMONLY SEEN IN GROUPS. MANATEES WERE  POSITIVELY CORRELATED WITH SEA TURTLES PROBABLY DUE TO THEIR PREFERENCE  FOR SHELTERED SHALLOW HABITATS WITH FAVORABLE CONDITIONS FOR FORAGING  AND RESTING. FURTHERMORE MANATEES SHOWED A POSITIVE RELATIONSHIP WITH  MANGROVE ESTUARIES AND MEDIUM-SIZED COASTAL CITIES PROBABLY DUE TO THE  INTENSE URBAN DEVELOPMENT IN MANY ESTUARINE AREAS. MANATEES AND SEA  TURTLES WERE ALSO POSITIVELY CORRELATED WITH BOATS SHOWING A SEVERE  THREAT FOR THESE SPECIES. DENSITY OF MANATEES WAS SIGNIFICANTLY HIGHER  WITHIN MPAS WITH PRESERVED MANGROVE ESTUARIES THAN IN NON-PROTECTED  AREAS WHILE DOLPHINS AND SEA TURTLES WERE OBSERVED IN HIGH DENSITIES  MPAS WITH CORAL REEFS. THE ELEVATED DENSITY OF THESE ORGANISMS SHOWS THE  VITAL IMPORTANCE OF PROTECTING AND ADEQUATELY MANAGING UNIQUE ECOSYSTEMS  TO ENSURE A SUSTAINABLE FUTURE FOR THE POPULATIONS OF SEVERELY  THREATENED SPECIES. C 2013 ELSEVIER LTD. ALL RIGHTS RESERVED.,DE OLIVEIRA ALVES MD 2013 BIOL CONSERV,"Aerial survey of manatees, dolphins and sea turtles off northeastern Brazil: Correlations with coastal features and human activities",10.1016/j.biocon.2013.02.015,Alves,Biological Conservation,0.977272727272727,0.2
1678,SPIER D 2018  BIOTA NEOTROP,2018,"Ichthyofauna of the inner shelf of Parana?, Brazil: checklist, geographic distribution, economic importance and conservation status ","fish assemblage, species list, Southwest Atlantic, vulnerability","Comprehensive species checklist are essential to effectively implementing preservation and recovery measures, and should assess conservation status, vulnerability degree and anthropogenic threats. This checklist was compiled from fish species recorded in surveys conducted over the last 30 years in the shallow inner continental shelf in the State of Parana?, Brazil. Information on biogeography, conservation status, economic importance and degree of species' vulnerability are provided. A total of 272 fish species were recorded, spanning 25 orders and 88 families. The most speciose family was Sciaenidae (25 species), followed by Carangidae (23), Engraulidae (10), Carcharhinidae (9), Epinephelidae (9) and Paralichthyidae (9). Most species occurring in Parana?'s shallow inner continental shelf are restricted to the West Atlantic. In terms of economic importance, 93% (253) of the species recorded were of fishery, aquaculture or aquaria interest. A notable fraction (39%) of the recorded species was classified as having moderate to very high vulnerability to extinction. In particular, 28 species (10%) were listed as globally endangered, and 34 species (12%) were listed as endangered in the Brazilian territory.",,"Ichthyofauna of the inner shelf of Paraná, Brazil: checklist, geographic distribution, economic importance and conservation status",10.1590/1676-0611-bn-2017-0385,FALSE,Biota Neotropica,0.977272727272727,0
1076,MARIATH R 2013 HELGOLAND MAR RES,2013,SUCCESSION OF CRUSTOSE CORALLINE RED ALGAE RHODOPHYTA ON CORALGAL  REEFS EXPOSED TO PHYSICAL DISTURBANCE IN THE SOUTHWEST ATLANTIC,CCA CORAL REEF BENTHIC COMMUNITIES BRAZIL ENCRUSTING ALGAE COMMUNITIES PRODUCTIVITY MECHANISMS STABILITY PATTERNS GROWTH BRAZIL ROCAS,BIOLOGICAL AND PHYSICAL DISTURBANCES CREATE THE CONDITIONS FOR SPECIES  SUCCESSION IN ANY BIOLOGICAL ECOSYSTEM. IN PARTICULAR CORAL REEFS ARE  SUSCEPTIBLE TO THIS PROCESS BECAUSE OF THE COMPLEXITY OF THEIR  ECOLOGICAL RELATIONSHIPS. IN THE SOUTHWEST ATLANTIC NEARSHORE REEFS ARE  MOSTLY COATED BY A THIN LAYER OF CORALLINE CRUSTS RATHER THAN STONY  CORALS. HOWEVER LITTLE IS KNOWN ABOUT THE SUCCESSION OF CRUSTOSE  CORALLINE ALGAE. WE STUDIED THIS PROCESS BY MEANS OF A SERIES OF  EXPERIMENTAL AND CONTROL DISCS EXPOSED TO PHYSICAL DISTURBANCE. OUR  RESULTS SHOWED THAT THE DOMINANT SPECIES IN NATURAL CONDITIONS  PNEOPHYLLUM CONICUM HAD EARLY RECRUITS AND LATER BECAME DOMINANT ON THE  DISCS REPLICATING THE COMMUNITY STRUCTURE OF THE ACTUAL REEF. THIS  SPECIES HAD MATURE REPRODUCTIVE STRUCTURES AND AVAILABLE SPORES FROM THE  BEGINNING OF THE COLONIZATION EXPERIMENTS. THICKER CRUSTS OF POROLITHON  PACHYDERMUM AND PEYSSONNELIA SP. WERE FOUND ON THE DISCS AFTER 112 DAYS  AND SIGNIFICANTLY INCREASED THEIR COVER OVER THE SUCCEEDING MONTHS AND  AFTER 1 YEAR P. CONICUM WAS LESS ABUNDANT. PHYSICAL DISTURBANCE  INCREASED CRUST RECRUITMENT AND THE LOW-LIGHT ENVIRONMENT CREATED BY  SEDIMENTS. THE DATA DEMONSTRATED COEXISTENCE AMONG CRUSTOSE CORALLINE  SPECIES AND A TOLERANCE TO PHYSICAL DISTURBANCE WHICH SEEMED TO FAVOR  THE THINNER CRUSTS OF P. CONICUM OVER THICK-CRUST SPECIES DURING  SUCCESSION. THE SUCCESSION PATTERN OBSERVED IN THIS SUBTROPICAL  BRAZILIAN CORAL REEF DIFFERS FROM THAT DESCRIBED FOR SHALLOW TROPICAL  REEF COMMUNITIES.,MARIATH R 2013 HELGOLAND MAR RES,Succession of crustose coralline red algae (Rhodophyta) on coralgal reefs exposed to physical disturbance in the southwest Atlantic,10.1007/s10152-013-0354-3,Mariath,Helgoland Marine Research,0.977099236641221,1
1030,MACHADO LF 2017 J EXP MAR BIOL ECOL,2017,POPULATION GENETIC STRUCTURE AND DEMOGRAPHIC HISTORY OF THE SPADEFISH  CHAETODIPTERUS FABER EPHIPPIDAE FROM SOUTHWESTERN ATLANTIC,POPULATION GENETICS REEF FISHES D-LOOP COI HAPLOTYPES SW ATLANTIC HUMAN MITOCHONDRIAL-DNA CORAL-REEF FISHES SAO-PAULO STATE MARINE FISHES SEA-LEVEL CONTROL REGION NORTH-EASTERN BRAZIL PHYLOGEOGRAPHY GROWTH,GENETIC DIVERSITY POPULATION STRUCTURE AND DEMOGRAPHIC HISTORY OF  CHAETODIPTERUS FABER IN SW ATLANTIC WERE INVESTIGATED USING  MITOCHONDRIAL DNA CYTOCHROME C OXIDASE SUBUNIT 1620 BP AND D-LOOP 817  BP SEQUENCES. INDIVIDUALS WERE COLLECTED IN FIVE SAMPLING UNITS SUS  LOCATED IN LATITUDES BETWEEN 2 DEGREES S AND 27 DEGREES S SOUTHERNMOST  LIMIT OF SPECIES DISTRIBUTION. THE COI SEQUENCES FROM BRAZILIAN SAMPLING  UNITS WERE COMPARED WITH EIGHT SEQUENCES FROM THE GULF OF MEXICO AND  CARIBBEAN RESULTING IN NO SIGNIFICANT GENETIC DIFFERENCES K2P <  0.32\%. ON THE CONTRARY PAIRWISE F-ST ANALYSIS BASED ON D-LOOP  DATASETS FROM THE FIVE SUS INDICATED DIVERGENCE BETWEEN TROPICAL AND  SUBTROPICAL CLADES OF SW ATLANTIC C. FABER. THE SAMOVA APPROACH WAS  CONSISTENT WITH THIS DIVERGENCE AND REVEALED MAXIMAL VARIANCE AMONG  GROUPS 63.59\% WHEN TWO CLADES ARE SIMULATED K = 2 SETTING APART  TROPICAL AND SUBTROPICAL SUS. DEMOGRAPHIC ANALYSES SUPPORT THE  HYPOTHESIS OF POPULATION EXPANSION BOTH FOR TROPICAL AND SUBTROPICAL  CLADES. MOREOVER SUBTROPICAL POPULATION SIZE INCREASE WAS DATED AFTER  THE TROPICAL CLADE REACHED THE DEMOGRAPHIC STABILITY AROUND 10 KYR AGO  DURING THE BEGINNING OF INTERGLACIAL PLEISTOCENE HOLOCENE TRANSITION.  THE HISTORICAL DEMOGRAPHIC RESULTS ALONG WITH THE LOWER GENETIC  DIVERSITY AND THE STAR SHAPED HAPLOTYPE NETWORK OF THE SUBTROPICAL CLADE  CORROBORATE AN ANCIENT SCENARIO OF THE SPECIES' ADAPTIVE RADIATION  SOUTHWARD.,MACHADO LF 2017 J EXP MAR BIOL ECOL,"Population genetic structure and demographic history of the spadefish, Chaetodipterus faber (Ephippidae) from Southwestern Atlantic",10.1016/j.jembe.2016.11.005,FALSE,Journal of Experimental Marine Biology and Ecology,0.977099236641221,0.142857142857143
1149,MINTE-VERA CV 2008 MAR ECOL -PROG SER,2008,NESTED SAMPLING AN IMPROVED VISUAL-CENSUS TECHNIQUE FOR STUDYING REEF  FISH ASSEMBLAGES,VISUAL CENSUS SAMPLING REEF FISHES BIODIVERSITY COMMUNITY STRUCTURE STEREO-VIDEO ACCURACY LENGTH ABUNDANCE PRECISION ROTENONE BIOMASS FIELD,OUR AIM WAS TO DEVISE VISUAL SAMPLING PROTOCOLS TO ESTIMATE DENSITIES IN  A MORPHOLOGICALLY AND BEHAVIORALLY DIVERSE ASSEMBLAGE OF REEF FISHES.  THE FOCUS WAS ON A DESIGN THAT IS COST-EFFECTIVE AND PRODUCES RELATIVELY  ACCURATE AND PRECISE DENSITY ESTIMATES FOR THE LARGEST NUMBER OF  SPECIES. WE EVALUATED THE 2 MOST WIDELY USED SHAPES OF SAMPLING UNITS  STRIP TRANSECTS AND STATIONARY CYLINDERS OF SEVERAL DIMENSIONS ON A  FRINGING REEF AT FERNANDO DE NORONHA ARCHIPELAGO TROPICAL WEST  ATLANTIC. SMALL SAMPLING UNITS PRODUCED THE BEST DENSITY ESTIMATES FOR  SMALL FISHES WHILE LARGE ONES PRODUCED THE BEST ESTIMATES FOR LARGE  FISHES REGARDLESS OF SAMPLING UNIT SHAPE. THE SAMPLING UNIT WITH THE  LOWEST COST WAS THE STATIONARY CYLINDER. WE FURTHER COMPARED ACCURACY  AND PRECISION OF DENSITY AND RICHNESS ESTIMATES FROM SEVERAL  COMBINATIONS OF STATIONARY CYLINDERS AND FISH SIZE. A SIMPLE IMPROVEMENT  IN STATIONARY CENSUSES I.E. A SAMPLING UNIT COMPOSED OF 2 NESTED  CYLINDERS 2 M AND 4 M RADII RESPECTIVELY ENHANCED THE ACCURACY AND  PRECISION OF ESTIMATES. COUNTS OF SMALL FISH <= 10 CM WERE MADE IN THE  SMALLER CYLINDER AND COUNTS OF LARGER FISH >10 CM WERE MADE IN THE  LARGER. SUCH NESTED CYLINDERS REDUCE THE BIAS TOWARDS LARGE AND  CONSPICUOUS SPECIES AND ALLOW FOR SEPARATE DENSITY ESTIMATES FOR ADULTS  AND JUVENILES OF LARGE SPECIES.,MINTE-VERA CV 2008 MAR ECOL -PROG SER,Nested sampling: an improved visual-census technique for studying reef fish assemblages,10.3354/meps07511,Minte-Vera,Marine Ecology Progress Series,0.977011494252874,1
1410,RAMIRES M 2015 J ETHNOBIOL ETHNOMED,2015,FISHERS' KNOWLEDGE ABOUT FISH TROPHIC INTERACTIONS IN THE SOUTHEASTERN  BRAZILIAN COAST,ETHNOECOLOGY ARTISANAL FISHERIES FISH ECOLOGY FISHERIES MANAGEMENT ETHNOICHTHYOLOGY ILHABELA TRADITIONAL ECOLOGICAL KNOWLEDGE POMATOMUS-SALTATRIX POMATOMIDAE PONTOPORIA-BLAINVILLEI CETACEA GULF-OF-MEXICO FEEDING-HABITS SOUTHERN BRAZIL CONTINENTAL-SHELF LOCAL KNOWLEDGE RESOURCE-MANAGEMENT STOMACH CONTENTS,BACKGROUND DATA DERIVED FROM STUDIES OF FISHERS' LOCAL ECOLOGICAL  KNOWLEDGE LEK CAN BE INVALUABLE TO THE PROPOSAL OF NEW STUDIES AND  MORE APPROPRIATE MANAGEMENT STRATEGIES. THIS STUDY ANALYZED THE FISHER'S  LEK ABOUT TROPHIC RELATIONSHIPS OF FISHES IN THE SOUTHEASTERN BRAZILIAN  COAST COMPARING FISHERS' LEK WITH SCIENTIFIC KNOWLEDGE TO PROVIDE NEW  HYPOTHESES.  METHODS THE INITIAL CONTACTS WITH FISHERS WERE MADE THROUGH INFORMAL  VISITS IN THEIR RESIDENCES TO EXPLAIN THE RESEARCH GOALS MEET FISHERS  AND THEIR FAMILIES CHECK THE NUMBER OF RESIDENT FISHERS AND ASK FOR  FISHERS' CONSENT TO PARTICIPATE IN THE RESEARCH. AFTER THIS INITIAL  CONTACT FISHERS WERE SELECTED TO BE INCLUDED IN THE INTERVIEWS THROUGH  THE TECHNIQUE OF SNOWBALL SAMPLING. THE FISHERS INDICATED BY OTHERS WHO  ATTENDED THE CRITERIA TO BE INCLUDED IN THE RESEARCH WERE INTERVIEWED BY  USING A SEMI-STRUCTURED STANDARD QUESTIONNAIRE.  RESULTS THERE WERE INTERVIEWED 26 ARTISANAL FISHERS FROM THREE  COMMUNITIES OF THE ILHABELA JABAQUARA FOME AND SERRARIA. THE  INTERVIEWED FISHERS SHOWED A DETAILED KNOWLEDGE ABOUT THE TROPHIC  INTERACTIONS OF THE STUDIED COASTAL FISHES AS FISHERS MENTIONED 17 FOOD  ITEMS FOR THESE FISHES AND SIX FISH AND THREE MAMMALS AS FISH PREDATORS.  THE MOST MENTIONED FOOD ITEMS WERE SMALL FISH SHRIMPS AND CRABS WHILE  THE MOST MENTIONED PREDATORS WERE LARGE REEF FISHES. FISHERS ALSO  MENTIONED SOME PREDATORS SUCH AS SEA OTTERS THAT HAVE NOT BEEN  REPORTED BY THE BIOLOGICAL LITERATURE AND ARE POORLY KNOWN.  CONCLUSIONS THE LEK OF THE STUDIED FISHERS SHOWED A HIGH DEGREE OF  CONCORDANCE WITH THE SCIENTIFIC LITERATURE REGARDING FISH DIET. THIS  STUDY EVIDENCED THE VALUE OF FISHERS' LEK TO IMPROVE FISHERIES RESEARCH  AND MANAGEMENT AS WELL AS THE NEEDY TO INCREASE THE COLLABORATION AMONG  MANAGERS BIOLOGISTS AND FISHERS.,RAMIRES M 2015 J ETHNOBIOL ETHNOMED,Fishers’ knowledge about fish trophic interactions in the southeastern Brazilian coast,10.1186/s13002-015-0012-8,Ramires,Journal of Ethnobiology and Ethnomedicine,0.977011494252874,1
1428,RIBEIRO B 2018 J MAR BIOL ASSOC U K,2018,EXPLOITATION OF MICRO REFUGES AND EPIBIOSIS SURVIVAL STRATEGIES OF A  CALCAREOUS SPONGE,CLATHRINA AUREA PORIFERA ECOLOGICAL INTERACTIONS ASTRANGIAPHYLLANGIA COMPETITION SOUTH-WESTERN ATLANTIC RIO-DE-JANEIRO ECOLOGICAL INTERACTIONS SEXUAL REPRODUCTION CARIBBEAN SPONGES PORIFERA COMPETITION DIVERSITY POECILOSCLERIDA MICROHABITAT DEMOSPONGIAE,SPONGES INTERACT IN VARIOUS WAYS WITH A WIDE VARIETY OF ORGANISMS IN  BENTHIC COMMUNITIES AND ECOLOGICAL INTERACTIONS MAY INFLUENCE THE  DISTRIBUTION ABUNDANCE AND DIVERSITY OF THESE ORGANISMS IN DIFFERENT  SITES. ALTHOUGH SEVERAL STUDIES HAVE ALREADY BEEN DEVELOPED FOR  DEMOSPONGIAE KNOWLEDGE OF ECOLOGICAL INTERACTIONS IN THE CLASS CALCAREA  IS LACKING. SOME CALCAREOUS SPONGES ARE CONSIDERED WEAK COMPETITORS FOR  SPACE AND TO HAVE DEVELOPED STRATEGIES TO SURVIVE IN HIGHLY DYNAMIC  ENVIRONMENTS SUCH AS EXPLOITATION OF MICRO REFUGES AND EPIBIOSIS. WE  AIMED TO INVESTIGATE THE INFLUENCE OF INTRA-AND INTERSPECIFIC  INTERACTIONS IN THE ABUNDANCE GROWTH AND LIFESPAN OF THE CALCAREOUS  SPONGE CLATHRINA AUREA IN SOUTH-EASTERN BRAZIL. TWO PEAKS OF ABUNDANCE  AND AREA COVERAGE WERE OBSERVED DURING THE STUDIED YEAR PROBABLY  ASSOCIATED WITH REPRODUCTIVE EFFORT. WE FOUND NO EVIDENCE OF INTRA-OR  INTERSPECIFIC COMPETITION BETWEEN THE SPONGE AND THE BENTHIC COMMUNITY.  CLATHRINA AUREA WAS FOUND USING PARTS OF OTHER ORGANISMS AS SUBSTRATE  EPIBIOSIS SUCH AS ALGAE DEMOSPONGES AND CORALS. IT WAS SEEN THAT THE  INTERACTION OF THE SPONGE WITH CORAL POLYPS POSITIVELY AFFECTS THE  LIFESPAN OF SPONGE INDIVIDUALS AND THE INTERSTICES OF CORALS PROBABLY  PROMOTE A MICRO REFUGE FOR C. AUREA AGAINST COMPETITORS FOR SPACE AND  PREDATORS.,RIBEIRO B 2018 J MAR BIOL ASSOC U K,Exploitation of micro refuges and epibiosis: survival strategies of a calcareous sponge,10.1017/s002531541600151x,Ribeiro,Journal of the Marine Biological Association of the United Kingdom,0.977011494252874,1
1623,SILVANO RAM 2006 BRAZ ARCHZ BIOL TECHNOL,2006,DIET AND FEEDING BEHAVIOR OF KYPHOSUS SPP. KYPHOSIDAE IN A BRAZILIAN SUBTROPICAL REEF,HERBIVORY KYPHOSIDAE OMNIVORY ONTOGENETIC DIET SHIFT COASTAL FISHES,THE PRESENT STUDY ANALYZED AND COMPARED DIET AND FEEDING BEHAVIOR SUBSTRATE USE POSITION IN WATER COLUMN INTERACTIONS WITH OTHER FISHES OF KYPHOSUS SPP. SEA CHUBS IN A BRAZILIAN SUBTROPICAL REEF. JUVENILES ? 160 MM OF KYPHOSUS INCISOR CONSUMED BOTH ALGAE AND INVERTEBRATES WHICH WERE MAINLY CALANOID COPEPODS. JUVENILE AND SMALL ADULTS OF ALSO OBSERVED FORAGING IN THE WATER COLUMN. WE THUS PROVIDE THE FIRST RECORD OF OMNIVORY FOR KYPHOSIDS IN THE SOUTHWEST ATLANTIC OCEAN. ,SILVANO RAM 2006 BRAZ ARCHZ BIOL TECHNOL,Diet and feeding behavior of Kyphosus spp. (Kyphosidae) in a Brazilian subtropical reef,10.1590/s1516-89132006000500012,Silvano,Brazilian Archives of Biology and Technology,0.977011494252874,1
1783,WANLESS RM 2010 BIOL INVASIONS,2010,SEMI-SUBMERSIBLE RIGS A VECTOR TRANSPORTING ENTIRE MARINE COMMUNITIES  AROUND THE WORLD,INVASIVE ALIEN MARINE SPECIES MARINE ENVIRONMENTAL MANAGEMENT OIL RIGS RISK ASSESSMENT RIO-DE-JANEIRO BIOLOGICAL INVASIONS OCEANIC ISLANDS EXTINCTION BIODIVERSITY PATTERNS RISK ASSEMBLAGE THREAT,A VIRTUALLY INTACT SUBTROPICAL REEF COMMUNITY 14 PHYLA 40 FAMILIES AND  62 NON-NATIVE TAXA WAS ASSOCIATED WITH A RIG UNDER TOW FROM BRAZIL THAT  BECAME STRANDED ON THE REMOTE ISLAND OF TRISTAN DA CUNHA. THIS EXPOSES  RIGS AS A SIGNIFICANT VECTOR SPREADING ALIEN MARINE ORGANISMS AND  INCLUDES THE FIRST RECORDS OF FREE-SWIMMING MARINE FINFISH POPULATIONS  BECOMING ESTABLISHED AFTER UNINTENTIONAL MOVEMENT. WITH RELATIVELY  TRIVIAL EFFORT A PRE-TOW CLEAN WOULD HAVE OBVIATED THE NEED TO SALVAGE  AND DISPOSE OF THE RIG UNDERTAKEN LARGELY TO ADDRESS CONCERNS ABOUT  INVASIVE SPECIES AT A COST OF SIMILAR TO US\$20 MILLION. OUR FINDINGS  SHOW THAT TOWING BIOFOULED STRUCTURES ACROSS BIOGEOGRAPHIC BOUNDARIES  PRESENT UNEXCELLED OPPORTUNITIES FOR INVASION TO A WIDE DIVERSITY OF  MARINE SPECIES. BETTER CONTROL AND MANAGEMENT OF THIS VECTOR IS REQUIRED  URGENTLY. SIMULTANEOUS UNINTENTIONAL INTRODUCTIONS OF VIABLE  POPULATIONS OF MULTIPLE MARINE ORGANISMS ARE RARE EVENTS AND WE DEVELOP  A BASIC FRAMEWORK FOR RAPID ASSESSMENT OF INVASION RISKS.,WANLESS RM 2010 BIOL INVASIONS,Semi-submersible rigs: a vector transporting entire marine communities around the world,10.1007/s10530-009-9666-2,Wanless,Biological Invasions,0.977011494252874,1
463,DE ARAUJO JC 2015 2015 IEEE/OES ACOUSTICS IN UNDERWATER GEOSCIENCES SYMPOSIUM,2015,LOW-COST BATHYMETRIC SURVEY FOR MARINE PROTECTED AREAS CORAL REEFS AND  COASTAL ISLANDS,BATHYMETRY ECHOSOUNDER INTERPOLATION GPS MPA MARINE PROTECTED AREA NA,BATHYMETRY SURVEYS ARE THE FIRST STEP FOR EVERY CONSERVATION EFFORT ON  MARINE PROTECTED AREAS MPAS. MAPS DEPICTING DEPTH AND BOTTOM  GEOMORPHOLOGY ARE USED TO GENERATE HILLSHADES THAT LATER BECOME  BASEMAPS FOR OTHER THEMES SUCH AS FISH DISTRIBUTION BOTTOM TYPES AND  WATER QUALITY. BATHYMETRY MAP AVAILABILITY IS LIMITED OR NON-EXISTENT AT  THE SCALES THAT ARE NECESSARY FOR MPA MANAGEMENT PLANS. SURVEY COSTS BY  TRADITIONAL SOUNDING METHODS OR NEW TECHNOLOGIES SUCH AS LIDAR ARE  PROHIBITIVE FOR MOST MPA BUDGETS. REMOTE SENSING BATHYMETRY IS YET  UNRELIABLE EXCEPT FOR CRYSTAL CLEAR WATERS. A LOW-COST TECHNIQUE BASED  ON COMMERCIALLY AVAILABLE GPS-ECHOSOUNDER UNITS WAS APPLIED TO OBTAIN  DETAILED BATHYMETRY OF TWO MPAS IN COASTAL BRAZIL AT THE PARQUE  MUNICIPAL MARINHO DA COROA ALTA PMMCA LOCATED IN THE COASTAL REEFS  OF SANTA CRUZ DE CABRALIA STATE OF BAHIA AND MONUMENTO NATURAL DAS  ILHAS CAGARRAS MNIC OFF GUANABARA BAY RIO DE JANEIRO. EQUIPMENT  CONSISTED OF A SIMRAD NSS-7 CHARTPLOTTER MOUNTED PERMANENTLY ON IAMANY  A 7 M-LONG FIBERGLASS-HULL TWIN-ENGINE BOAT FOR PMMCA AND A GARMIN  GPSMAP 521 CHARTPLOTTER MOUNTED ON CACAO AN INFLATABLE 6 M-LONG  SINGLE-ENGINE BOAT HIRED FOR MNIC. SURVEY FREQUENCIES FOR THE  ECHOSOUNDERS WERE SET AT 50 KHZ. CROSS-SHELF EAST-WEST LINES SPACED  100M APART WITH READINGS EVERY SECOND 1-3 M DEPENDING ON BOAT SPEED  WERE OBTAINED FOR PMMCA OVER 30 DAYS OF 4-6 HOURS OF NAVIGATION AROUND  THE HIGHEST TIDE RANGING FROM 1.3 TO 2.0 M ABOVE MEAN SEA-LEVEL. AT  MNIC RADIAL LINES SURROUNDING EACH OF THE ISLANDS WERE PLACED 50 M  APART AT THEIR OUTER LIMITS AND READINGS WERE OBTAINED EVERY 10 SECONDS  SIMILAR TO 10 M IN 7 DAYS OF 3-4 HOURS OF NAVIGATION AROUND THE  HIGHEST TIDES RANGING FROM 0.8 TO 1.2 M ABOVE MEAN SEA-LEVEL. IN THE  SHALLOW CORAL REEFS OF BAHIA 62 KM2 WERE SURVEYED WITH DEPTHS  VARYING FROM 0 TO 20M WHILE AT THE SANDY BOTTOM AROUND THE  GRANITE-GNEISS ISLANDS OF RIO DE JANEIRO 6 KM2 WERE SURVEYED WITH  DEPTHS VARYING FROM 0 TO 40M. DATA IN THE ECHOSOUNDERS PROPRIETARY  FORMAT WERE SAVED ON MICRO-SD OR SD MEMORY CARDS CONVERTED TO XYZ  FORMAT .CSV AND MIGRATED TO GIS WHERE A LINEAR TIDE CORRECTION WAS  APPLIED. INTERPOLATION METHODS SUCH AS RADIAL BASIS FUNCTIONS AND ANUDEM  GENERATED MAPS WITH 10 M PIXELS FOR PMMCA PRESENTED AT 1 10.000 AND  1 25.000 AND 5 M PIXELS FOR MNIC PRESENTED AT 1 3.000 AND 1  10.000. AVERAGE SURVEY COSTS ARE ESTIMATED AT R\$500-650/DAY OR  R\$1.000/KM2 SIMILAR TO US\$ 250/DAY OR SIMILAR TO US\$ 400/KM2  DEPENDING ON BOAT OWNERSHIP VS. RENTAL COST. THIS REPRESENTS LESS THAN  1/10 OF THE OFFICIAL TRADITIONAL SURVEY COSTS AND EVEN LESS WHEN  COMPARED TO LIDAR BATHYMETRY. PRECISION OBTAINED IS AN ORDER OF  MAGNITUDE HIGHER THAN PREVIOUSLY AVAILABLE AND ENOUGH FOR ENVIRONMENTAL  ASSESSMENT FOR CONSERVATION MANAGEMENT OF THE MPAS INVOLVED. SURVEYS  WERE CONDUCTED AT PMMCA UNDER THE AUSPICES OF PROJETO CORAL VIVO AND AT  MNIC UNDER PROJETO ILHAS DO RIO BOTH PETROBRAS AMBIENTAL PROGRAMMES.,DE ARAUJO JC 2015 2015 IEEE/OES ACOUSTICS IN UNDERWATER GEOSCIENCES SYMPOSIUM,Low-cost bathymetric survey for marine protected areas: Coral reefs and coastal islands,10.1109/rioacoustics.2015.7473610,de Araujo,2015 IEEE/OES Acoustics in Underwater Geosciences Symposium (RIO Acoustics),0.977011494252874,0.222222222222222
