;X;PY;TI;DE;AB;SR;DI;;;;;;;;;;;;;;;;;;
1118;BREEDY O, 2011, ZOOTAXA;2011;A REVISION OF THE GENUS HETEROGORGIA VERRILL, 1868 (ANTHOZOA: OCTOCORALLIA: PLEXAURIDAE);ALCYONACEA;;;; ANTHOCODIAE HAVE STRONG SPINDLES ARRANGED IN COLLARET AND POINTS; AND THE CALYCES ARE PROMINENTLY ARMED WITH WHORLS OF STRONGLY PROJECTING THORNS. TO DEFINE HETEROGORGIA WE EXAMINED ORIGINAL TYPE MATERIAL OF ALL EASTERN PACIFIC AND WESTERN ATLANTIC SPECIES DESCRIBED UNTIL NOW AND REFERENCE SPECIMENS FROM RECENT EXPEDITIONS ALONG THE EASTERN PACIFIC. MORPHOLOGICAL CHARACTERS ARE ANALYSED AND ILLUSTRATED USING SCANNING ELECTRON MICROGRAPHS. LECTOTYPES ARE DESIGNATED FOR H. TORTUOSA AND H. VERRUCOSA TO ESTABLISH THEIR TAXONOMIC STATUS. WE CONCLUDE THAT HETEROGORGIA IS COMPRISED OF FIVE VALID SPECIES AT PRESENT: HETEROGORGIA HICKMANI AND H. VERRUCOSA FOR THE GALAPAGOS ISLANDS AND ECUADOR MAINLAND; H. PAPILLOSA FOR MEXICO; H. TORTUOSA AND H. VERRUCOSA FOR COSTA RICA AND PANAMA;" AND H. UATUMANI FOR BRAZIL AND BAHAMAS. THE GENERA ASTROMURICEA, BEBRYCE, ECHINOGORGIA AND PSAMMOGORGIA ARE PROPOSED FOR THE WESTERN PACIFIC SPECIES THAT WERE HISTORICALLY MISPLACED IN HETEROGORGIA. WE RECOMMEND THAT REGIONAL BIODIVERSITY ESTIMATES AND BIOGEOGRAPHY ANALYSES CONSIDER THE ERRONEOUS STATUS OF THE SPECIES THAT ARE STILL LISTED AS HETEROGORGIA WITHIN THE DATA SETS."",""BREEDY O, 2011, ZOOTAXA"",NA";;;;;;;;;;;;;
1123;FREIRE RICCI MS, 2011, SCI AGRIC;2011;VEGETATIVE AND PRODUCTIVE ASPECTS OF ORGANICALLY GROWN COFFEE CULTIVARS UNDER SHADED AND UNSHADED SYSTEMS;COFFEE ARABICA L.;;;;;;;;;;;;;;;;;;;;;
1124;MACIEIRA RM, 2011, FISH BULL;2011;DISTRIBUTION PATTERNS OF TIDEPOOL FISHES ON A TROPICAL FLAT REEF;NA;ROCKPOOLS ON A TROPICAL FLAT REEF OFF THE SOUTHEASTERN COAST OF BRAZIL WERE SAMPLED TO DETERMINE THE INFLUENCE OF POOL MORPHOMETRY AND WATER CHARACTERISTICS ON FISH COMMUNITY STRUCTURE. THE POOL CLOSEST TO THE INNER FRINGE OF THE REEF HAD LOWER SALINITY AND HIGHER TEMPERATURE DUE TO INFLOW OF GROUNDWATER. THE OTHER POOLS VARIED ONLY WITH RESPECT TO THEIR MORPHOMETRIC CHARACTERISTICS, ALGAL COVER, AND BOTTOM COMPOSITION. SPECIES WITH A STRONG AFFINITY FOR ESTUARINE-LIKE WATERS CHARACTERIZED THE POOL CLOSEST TO THE BEACH AND DISTINGUISHED ITS FISH COMMUNITY FROM THAT OF THE OTHER POOLS. INSTEAD OF BEING STRONGLY STRUCTURED BY THE PHYSICOCHEMICAL SETTING AND POSITION IN THE REEF, FISH COMMUNITIES OF THE OTHER POOLS WERE DETERMINED BY BEHAVIORAL PREFERENCES AND INTRA- AND INTERSPECIFIC INTERACTIONS. DIFFERENCES IN COMMUNITY STRUCTURE WERE RELATED TO POOL SIZE (THE LARGER SIZES PERMITTING THE PERMANENCY OF SCHOOLING SPECIES), TO ALGAL COVER (WHICH ALLOWED CAMOUFLAGE FOR LARGE PREDATORY SPECIES), TO BOTTOM COMPOSITION (WHICH PROVIDED SUBSTRATE FOR TURF FLORA AVAILABLE TO TERRITORIAL HERBIVORES), AND TO ECOLOGICAL EFFECTS (E.G., COMPETITION, TERRITORIALITY, AND PREDATION). ALTHOUGH DISTRIBUTION PATTERNS OF TIDEPOOL FISHES HAVE PREVIOUSLY BEEN RELATED TO THE AVAILABILITY OF NICHES, INDEPENDENT OF POOL POSITION IN THE REEF, OUR RESULTS SHOW SYNERGISTIC INTERACTIONS BETWEEN WATER PROPERTIES, PRESENCE OR ABSENCE OF NICHES, AND ECOLOGICAL RELATIONSHIPS IN STRUCTURING TIDEPOOL FISH COMMUNITIES.;MACIEIRA RM, 2011, FISH BULL;NA;;;;;;;;;;;;;;;;;;
1130;BERNAL MA, 2011, ZOOTAXA;2011;ACANTHURUS TRACTUS POEY, 1860, A VALID WESTERN ATLANTIC SPECIES OF SURGEONFISH (TELEOSTEI, ACANTHURIDAE), DISTINCT FROM ACANTHURUS BAHIANUS CASTELNAU, 1855;CARIBBEAN;;;;;;;;;;;;;;;;;;;;;
1141;GONDIM AI, 2011, BIOTA NEOTROP;2011;BENTHIC MACROFAUNA FROM AREIA VERMELHA MARINE STATE PARK, CABEDELO, PARAIBA, BRAZIL;BIODIVERSITY;;;;;;;;;;;;;;;;;;;;;
1158;DE SOUZA FILHO JR, 2011, J COAST RES;2011;SOCIO-ENVIRONMENT ANALYSIS AS A TOOL FOR COASTAL MANAGEMENT: THE CASE OF MARAU PENINSULA, BAHIA, BRAZIL;RECREATIONAL QUALITY;;;;;;;;;;;;;;;;;;;;;
1160;KRUEGER CP, 2011, J COAST RES;2011;SATELLITE POSITIONING ON THE COAST OF THE PARANA, BRAZIL;COASTAL MAPPING;;;;;;;;;;;;;;;;;;;;;
1161;ROLLNIC M, 2011, J COAST RES;2011;COASTAL CIRCULATION ALONG THE SOUTHERN METROPOLITAN REGION OF RECIFE, NORTHEASTERN BRAZIL.;CURRENTS;;;;;;;;;;;;;;;;;;;;;
1170;DOS SANTOS LN, 2011, CRC MAR BIOL SER;2011;ASSESSING ARTIFICIAL REEFS FOR FISHERIES MANAGEMENT A 10-YEAR ASSESSMENT OFF THE NORTHERN COAST OF RIO DE JANEIRO;NA;ARTIFICIAL REEFS WERE DEPLOYED IN MARCH 1996 ON A FLAT BOTTOM, 9 M DEEP AND 5 KM AREA OFFSHORE SOUTHEAST BRAZIL, AND TEMPORAL CHANGES OF THE ASSOCIATED FISH ASSEMBLAGES WERE ASSESSED OVER A PERIOD OF 10 YEARS. FISHES WERE COLLECTED THROUGH BOTTOM GILLNETS AT 1 MONTH, 6 MONTHS, 1 YEAR, 6 YEARS, 7 YEARS, AND 10 YEARS AFTER ARTIFICIAL REEF DEPLOYMENT. A TOTAL OF 961 FISHES BELONGING TO 41 SPECIES AND 18 FAMILIES WERE CAUGHT, WITH C. CHRYSURUS (CARANGIDAE) AND C. NOBILIS (HAEMULIDAE) AS THE DOMINANT SPECIES AND SCIAENIDAE AS THE RICHEST FAMILY (N = 11 SPECIES). NO SINGLE SPECIES OCCURRED THROUGHOUT THE SURVEYS AND FISH SPECIES COMPOSITION DIFFERED TEMPORALLY AMONG <1 YEAR, 1-6 YEAR, AND 7-10 YEAR TIME INTERVALS. FISH RICHNESS, ABUNDANCE, BIOMASS, AND SIZE VARIED SIGNIFICANTLY WITH TIME;;;;;;;;;;;;;;;;;;;;
1187;DE ALBUQUERQUE LIRA SM, 2010, BIOTA NEOTROP;2010;SESSILE AND SEDENTARY MACROFAUNA FROM THE PIRAPAMA SHIPWRECK, PERNAMBUCO, BRAZIL;ARTIFICIAL REEFS;;;;;;;;;;;;;;;;;;;;;
1195;TEIXEIRA SF, 2010, REV BIOL TROP;2010;REPRODUCTION OF THE FISH LUTJANUS ANALIS (MUTTON SNAPPER;;;;;;;;;;;;;;;;;;;;;;
1204;PINHEIRO HT, 2010, ZOOTAXA;2010;SPARISOMA ROCHA, A NEW SPECIES OF PARROTFISH (ACTINOPTERYGII: LABRIDAE) FROM TRINDADE ISLAND, SOUTH-WESTERN ATLANTIC;SPARISOMA;;;;;;;;;;;;;;;;;;;;;
1205;EL-SHAHAWY IS, 2010, ACTA ADRIAT;2010;MYRIPRISTIS MURDJAN (BERYCIFORMES: HOLOCENTRIDAE) A NEW HOST RECORD FOR CYMOTHOA INDICA (CRUSTACEA, ISOPODA, CYMOTHOIDAE);CYMOTHOA INDICA;;;;;;;;;;;;;;;;;;;;;
1215;ROCHA LA, 2010, ZOOTAXA;2010;DESCRIPTION OF HALICHOERES RUBROVIRENS, A NEW SPECIES OF WRASSE (LABRIDAE: PERCIFORMES) FROM THE TRINDADE AND MARTIN VAZ ISLAND GROUP, SOUTHEASTERN BRAZIL, WITH A PRELIMINARY MTDNA MOLECULAR PHYLOGENY OF NEW WORLD HALICHOERES;WESTERN ATLANTIC;;;;;;;;;;;;;;;;;;;;;
1220;ROMAN-CONTRERAS R, 2010, REV MEX BIODIVERS;2010;PALAEMONIDAE (CRUSTACEA: DECAPODA: CARIDEA) FROM THE SHALLOW WATERS FROM QUINTANA ROO, MEXICAN CARIBBEAN COAST;PALAEMONIDAE;;;;;;;;;;;;;;;;;;;;;
1222;DOS SANTOS AS, 2010, ZOOTAXA;2010;NEW TEREBELLIDS (POLYCHAETA: TEREBELLIDAE) FROM NORTHEASTERN BRAZIL;STREBLOSOMA;;;;;;;;;;;;;;;;;;;;;
1229;ANKER A, 2010, ZOOTAXA;2010;THE SHRIMP GENUS SALMONEUS HOLTHUIS, 1955 (CRUSTACEA, DECAPODA, ALPHEIDAE) IN THE TROPICAL WESTERN ATLANTIC, WITH DESCRIPTION OF FIVE NEW SPECIES;CARIDEA;;;; NEW SPECIES; WESTERN ATLANTIC;" CALLIANASSIDAE"",""THE PRESENT STUDY EXAMINES THE DIVERSITY OF THE ALPHEID SHRIMP GENUS SALMONEUS HOLTHUIS, 1955 IN THE WESTERN ATLANTIC. FIVE SPECIES ARE DESCRIBED FROM THE SHALLOW WATERS OF THE CARIBBEAN SEA: SALMONEUS HISPANIOLENSIS SP. NOV., FROM THE SOUTHERN COAST OF THE DOMINICAN REPUBLIC"; S. CAMARONCITO SP. NOV. FROM PANAMA AND HONDURAS; S. ARMATUS SP. NOV. FROM PANAMA; S. DEGRAVEI SP. NOV. FROM PANAMA, COLOMBIA, VENEZUELA, AND TOBAGO; AND S. WEHRTMANNI SP. NOV. FROM PANAMA, HONDURAS, MEXICO (YUCATAN) AND TOBAGO. IN ADDITION, S. ORTMANNI (RANKIN, 1898) IS REPORTED FROM NEW LOCALITIES IN PANAMA AND COSTA RICA; S. CARVACHOI ANKER, 2007 FROM MEXICO (YUCATAN) AND THE BRAZILIAN STATES OF PERNAMBUCO AND PARA BA; S. CAVICOLUS FELDER \& MANNING, 1986 FROM TURKS AND CAICOS ISLANDS; AND S. SETOSUS MANNING \& CHACE, 1990 FROM MEXICO (YUCATAN). MOST SPECIMENS WERE COLLECTED AT SHALLOW DEPTHS (0.5-2 M), ON SOFT BOTTOMS RANGING FROM MUD-SILT TO COARSE SAND MIXED RUBBLE, UNDER ROCKS OR CORAL RUBBLE;" S. DEGRAVEI SP. NOV. APPEARS TO BE ASSOCIATED WITH BURROWS OF THE CALLIANASSID GHOST SHRIMP, NEOCALLICHIRUS GRANDIMANA (GIBBES, 1850)."",""ANKER A, 2010, ZOOTAXA"",NA";;;;;;;
1232;RANGELY J, 2010, BOL INST PESCA;2010;STRATEGIES FOR ARTISANAL FISHING IN ALAGOAS COAST (BRAZIL);ICHTHYOFAUNA;;;;;;;;;;;;;;;;;;;;;
1234;CHAVES LCT, 2010, BRAZ J OCEANOGR;2010;SHALLOW REEF FISH COMMUNITIES OF SOUTH BAHIA COAST, BRAZIL;FISH COMMUNITY;;;;;;;;;;;;;;;;;;;;;
1236;CAMPOS LS, 2010, ECHINODERMS: DURHAM;2010;ON TWO NEW RECORDS OF THE FAMILY BRISINGIDAE (ECHINODERMATA: ASTEROIDEA) FROM THE BRAZILIAN CONTINENTAL MARGIN;NA;SEA STARS FROM THE BRAZILIAN CONTINENTAL MARGIN, SOUTHWEST ATLANTIC, HAVE BEEN SAMPLED THROUGH TWO MAJOR BRAZILIAN DEEP-SEA PROGRAMMES IN COLLABORATION WITH THE RESEARCH AND DEVELOPMENT CENTER OF THE BRAZILIAN ENERGY COMPANY PETROBRAS: `CAMPOS BASIN DEEP SEA ENVIRONMENTAL PROJECT', AND `CAMPOS BASIN DEEP-SEA CORAL ASSESSMENT PROJECT'. AMONGST THESE SEA STARS THE ORDER BRISINGIDA, FAMILY BRISINGIDAE AND TWO OF ITS SPECIES HAVE BEEN RECOGNISED FOR THE FIRS: TIME FOR BRAZILIAN WATERS: BRINSIGA SP.;;;;;;;;;;;;;;;;;;;;
1237;CAMPOS LS, 2010, ECHINODERMS: DURHAM-a;2010;ROV IMAGING OF DEEP-SEA ECHINODERMS FROM THE BRAZILIAN CONTINENTAL MARGIN, SOUTHWEST ATLANTIC;NA;ROV IMAGES WERE REGISTERED FROM THE BRAZILIAN CONTINENTAL MARGIN, SOUTHWESTERN ATLANTIC (700-1100 IN) IN 2004 THROUGH THE `CAMPOS BASIN DEEP-SEA CORAL ASSESSMENT PROJECT' CONDUCTED BY CENPES-PETROBRAS. AN AREA OF 0.105 KM(2) WAS COVERED BY CORAL BANKS AND THEIR ASSOCIATED FAUNA, AND IMAGES FROM THIS WERE TAKEN FROM NESTED 8 AREAS OVER 50 IN LONG PARALLEL TRANSECTS IN EACH AREA: 0.080 KM(2) (N = 4);;;" AND MESOTHURIA VERRILLI (N = 4) (HOLOTHUROIDEA). EXCEPT FOR N. ANTILLENSIS, THE OTHER ASTEROIDS WERE FOUND IN SOFT SEDIMENTS. MOST COMATULIDS (N = 35) WERE VIEWED ON BIOLOGICAL SUBSTRATES, AND FEWER WERE FOUND IN THE MUD AT THE EDGES OF THE BANKS (N = 16). EVEN THOUGH THE ROV MAY HAVE UNDERESTIMATED QUANTITATIVE SAMPLING PROPERTIES, ITS IMAGES PROVIDED A GENERAL OVERVIEW OF THE ENVIRONMENT AND REASONABLE QUALITATIVE ESTIMATES OF THE LARGER ECHINODERMS."",""CAMPOS LS, 2010, ECHINODERMS: DURHAM-a"",NA";;;;;;;;;;;;;;;;;
1238;FRENSEL R, 2010, ECHINODERMS: DURHAM;2010;SOUTHWEST ATLANTIC DEEP-SEA BRITTLE STARS (ECHINODERMATA: OPHIUROIDEA) FROM CAMPOS BASIN, BRAZIL;NA;AMONGST THE ECHINODERMS THE OPHIUROIDEA IS NUMERICALLY DOMINANT IN SEVERAL BATHYAL REGIONS WORLDWIDE, AND THIS HAS BEEN THE CASE AT CAMPOS BASIN, SOUTHWEST ATLANTIC. BRITTLE STAR SAMPLES FROM THIS REGION WERE COLLECTED AS PART OF THE `CAMPOS BASIN DEEP SEA ENVIRONMENTAL PROJECT/PETROBRAS'. THIS STUDY AIMED TO CHARACTERIZE THE ABUNDANCE, DIVERSITY INCLUDING SPECIES RICHNESS, AND ALSO DETECT SIGNIFICANT SPATIAL AND TEMPORAL VARIATIONS IN THE BRITTLE STAR POPULATION STRUCTURE. DURING FEBRUARY AND AUGUST (SUMMER AND WINTER, RESPECTIVELY) 2003, 36 SAMPLING TRAWLS WERE TAKEN USING AN OTTER TRAWL SEMI-BALLOON, WITH A 5.5 M(2) OPENING AND I 6 MM MESH SIZE, AT THREE DIFFERENT DEPTHS (1100, 1300 AND 1600 M) IN THE NORTHERN AND SOUTHERN AREAS OF CAMPOS BASIN. A TOTAL OF 3272 BRITTLE STAR INDIVIDUALS WERE SAMPLED, REPRESENTED BY 21 SPECIES IN 6 FAMILIES. AN OLIGARCHIC CHARACTERISTIC WAS ATTRIBUTED TO THE NORTHERN AND SOUTHERN AREAS: OPHIURA LJUNGMANI WAS HIGHLY DOMINANT ACCOUNTING FOR 70\% OF THE TOTAL BRITTLE STARS IN BOTH AREAS. THE SHANNON DIVERSITY INDEXES FOR BOTH AREAS WERE SIGNIFICANTLY DIFFERENT (P < 0.0001). CONTRARY TO THE EXPECTED, THE HIGHER SPECIES RICHNESS WAS FOUND IN THE SOUTHERN AREA (19SPECIES) AS OPPOSED TO THE NORTHERN AREA (15 SPECIES).;FRENSEL R, 2010, ECHINODERMS: DURHAM;NA;;;;;;;;;;;;;;;;;;
1239;PAZOTO CEM, 2010, ECHINODERMS: DURHAM;2010;GENETIC CONTRIBUTION OF SEXUAL AND ASEXUAL REPRODUCTION TO THE RECRUITMENT OF A SEXUALLY UNBALANCED POPULATION OF COSCINASTERIAS TENUISPINA (ECHINODERMATA: ASTEROIDEA) IN RIO DE JANEIRO, BRAZIL;NA;MOST ASTEROID SPECIES REPRODUCE SEXUALLY, DEVELOPING PLANKTOTROPHIC OR LECITHOTROPHIC LARVAE OR BROODING OFFSPRING. SOME FISSIPAROUS SPECIES, LIKE COSCINASTERIAS TENUISPINA, HAVE A MIXED LIFE HISTORY WITH BOTH SEXUAL AND ASEXUAL REPRODUCTION. A POPULATION OF C. ENUISPINA AT ITAIPU (22 DEGREES 59' S, 43 DEGREES 04' W) IS DENSE AND CONSISTS ONLY OF MALES LARGER THAN 5 MM IN RADIUS. THIS SUGGESTS RECRUITMENT IS BASED ON CLONAL PROLIFERATION. TO TEST THIS HYPOTHESIS, SIX POLYMORPHIC LOCI WERE SURVEYED BY ALLOZYME ELECTROPHORESIS. LEVELS OF SEXUAL AND ASEXUAL CONTRIBUTIONS WERE ESTIMATED BY THREE DIFFERENT PARAMETERS: ( 1) NUMBER OF GENOTYPES TO SAMPLE SIZE (NGO:N), WHICH INDICATES THE MINIMUM INPUT OF SEXUAL REPRODUCTION;;;;;;;;;;;;;;;;;;;;
1240;PIVETTA KFL, 2010, II INTERNATIONAL CONFERENCE ON LANDSCAPE AND URBAN HORTICULTURE;2010;CONSERVATION AND USE OF PALM TREES IN BRAZIL'S LANDSCAPING;ARECACEAE;;;;;;;;;;;;;;;;;;;;;
1248;BOUDAGHER-FADEL MK, 2010, STRATIGRAPHY;2010;FORAMINIFERAL BIOSTRATIGRAPHY AND PALEOENVIRONMENTS OF THE OLIGOCENE-MIOCENE CARBONATE SUCCESSION IN CAMPOS BASIN, SOUTHEASTERN BRAZIL;NA;THE PRESENT INVESTIGATION OF THE CENOZOIC CARBONATE SUCCESSION OF THE CAMPOS BASIN, OFFSHORE SOUTHEASTERN BRAZIL, HAS RESULTED IN A HIGH RESOLUTION BIOSTRATIGRAPHIC PROFILE OF THE REGION BASED ON CORES AND CUTTING SAMPLES. IN GENERAL, THE STUDIED CARBONATE SUCCESSIONS EVOLVED DURING THREE DEPOSITIONAL STAGES: 1) IN THE OLIGOCENE A WARM PERIOD PREVAILED WHERE TEMPERATURE-SENSITIVE ORGANISMS, SUCH AS LARGER BENTHIC FORAMINIFERA, CORALS, ALGAE AND ARTHROPODS THRIVED IN A REEFAL SETTING. FOUR DIFFERENT BENTHIC FORAMINIFERAL BIOZONES (BF1 - BF4) WERE DEFINED BASED UPON THE OCCURRENCE OF THE FOLLOWING FORAMINIFERAL ASSEMBLAGES WHICH WERE DOMINATED BY (BF1) LEPIDOCYCLINIDS, (BF2) MIOGYPSINIDS, (BF3) MIOGYPSINA-AMPHISTEGINA, AND (BF4) MIOGYPSINA AND HETEROSTEGINA. THESE BIOZONES, ARE EQUIVALENT TO THE P18-P22 PLANKTONIC FORAMINIFERAL BIOZONES, AND REFLECT TEMPORAL CHANGES OF ENVIRONMENTAL AND ECOLOGICAL CONDITIONS ASSOCIATED WITH MINOR SEA LEVEL FLUCTUATION. 2) THE WARM PERIOD CONTINUED THROUGH THE EARLY MIOCENE, WHERE CORALS, BRYOZOANS, RARE PLANKTONIC FORAMINIFERA AND LARGER BENTHIC FORAMINIFERA THRIVED IN CLEAR AGITATED WATERS OF A FOREREEFAL SETTING. THIS PERIOD WAS REPRESENTED BY TWO BENTHIC FORAMINIFERAL ZONES, BF5 - BF6, EQUIVALENT TO THE N4-N7 PLANKTONIC FORAMINIFERAL BIOZONES. MIOGYPSINIDS, LEPIDOCYCLINA AND HETEROSTEGINA DOMINATE BF5, WHILE ATTACHED FORMS GROWING IN A MASSIVE BRANCHING STRUCTURE, SUCH AS SPORADOTREMA ARE PROMINENT IN BF6. 3) THE THIRD DEPOSITIONAL STAGE IS REFLECTED BY A RAPID DEEPENING OF THE CARBONATE FACIES AT THE ONSET OF THE MIDDLE MIOCENE, COEVAL WITH A GLOBAL WARMING EVENT, THE SO-CALLED MID-MIOCENE CLIMATIC MAXIMUM. THIS RESULTED IN THE REPLACEMENT OF THE REEFAL ORGANISMS BY PELAGIC SEDIMENTS CONTAINING PLANKTONIC FORAMINIFERA. THE PLANKTONIC FORAMINIFERAL BIOZONES PF1 AND PF2 ARE EQUIVALENT TO N8-N12 PLANKTONIC FORAMINIFERAL BIOZONES, AND WERE PRESENT IN ALL WELLS. THIS RAPID SEA LEVEL CHANGE IS INFERRED TO BE RELATED TO A GLOBAL WARMING EVENT AND RELATED OCEANOGRAPHIC CHANGES. THE HIGH RESOLUTION DEPOSITIONAL AND BIOSTRATIGRAPHIC SCHEME PUT FORWARD HERE FOR THE CAMPOS BASIN WILL ENABLE A MORE DETAILED UNDERSTANDING OF THE GENERAL REGIONAL EVOLUTION OF THE ECONOMICALLY IMPORTANT CENOZOIC CARBONATE FACIES THAT ARE FOUND OFF THE ATLANTIC MARGINS OF SOUTH AMERICA, THE CARIBBEAN AND WEST AFRICA.;BOUDAGHER-FADEL MK, 2010, STRATIGRAPHY;NA;;;;;;;;;;;;;;;;;;
1249;GARCIA TM, 2010, THALASSAS;2010;SIPUNCULA ASSOCIATED WITH BRANCHING FIRE CORAL (MILLEPORA ALCICORNIS) IN A MARINE PROTECTED AREA IN NORTHEASTERN BRAZIL;SIPUNCULA;;;;;;;;;;;;;;;;;;;;;
1275;ROMAN-CONTRERAS R, 2009, HIDROBIOLOGICA;2009;SHALLOW WATER HIPPOLYTID SHRIMPS (CRUSTACEA: DECAPODA: CARIDEA) FROM THE MEXICAN CARIBBEAN COAST;HIPPOLYTIDAE;;;;;;;;;;;;;;;;;;;;;
1277;FOERSTER B, 2009, PESQUI AGROPECU BRAS;2009;TROPICAL TERRESTRIAL MODEL ECOSYSTEMS FOR EVALUATION OF SOIL FAUNA AND LEAF LITTER QUALITY EFFECTS ON LITTER CONSUMPTION, SOIL MICROBIAL BIOMASS AND PLANT GROWTH;BRACHIARIA DECUMBENS;;;;;;;;;;;;;;;;;;;;;
1278;POGGIO C, 2009, INTERCIENCIA;2009;RECORD OF SEASONAL BLEACHING IN SIDERASTREA SPP. FROM TIDAL POOLS OF THE GUARAJUBA REEF, BAHIA, BRAZIL;NA;CORAL BLEACHING IS A PHENOMENON CHARACTERIZED BY THE LACK OF PIGMENTATION IN THE CORAL TISSUE DUE TO THE LOSS OF THE EXISTING RELATIONSHIP BETWEEN CORALS AND THEIR SYMBIOTIC ZOOXANTHELLAE, RESULTING IN LOSS OF ZOOXANTHELLAE AND/OR OF ITS PHOTOSYNTHETIC PIGMENTS. THE PURPOSE OF THE PRESENT WORK WAS TO EVALUATE IF BLEACHING OF SIDERASTREA SPP. COLONIES FROM THE TIDAL POOLS OF THE GUARAJUBA REEF TOP, OCCURRED AS A RESULT OF SEASONAL VARIATIONS OF SEA WATER PARAMETERS SUCH AS TEMPERATURE, SALINITY AND PH. THE EVALUATION WAS BASED UPON MEASUREMENT OF THE DENSITY OF ZOOXANTHELLAE IN THE CORAL SAMPLES, WHICH WERE COLLECTED IN THE TIDAL POOLS DURING LOW SPRING TIDES, FROM MARCH 2005 TO MARCH 2006. AMONGST THE ANALYZED PARAMETERS, SEA WATER TEMPERATURE VARIED MORE SIGNIFICANTLY. CONSIDERING THE DENSITY OF THE SYMBIOTIC ZOOXANTHELLAE, THE RESULTS INDICATED THAT IT WAS HIGHER IN THE COLONIES COLLECTED IN THE COLDEST MONTH (JUNE/05) OF THE STUDIED PERIOD THAN IN THE OTHER MONTHS, WHEN WATER TEMPERATURE IN THE TIDAL POOLS WAS WARMER THUS CHARACTERIZING A SEASONAL INFLUENCE IN THE BLEACHING OF CORAL COLONIES.;POGGIO C, 2009, INTERCIENCIA;NA;;;;;;;;;;;;;;;;;;
1311;FARRAPEIRA CMR, 2009, CAH BIOL MAR;2009;BARNACLES (CRUSTACEA: CIRRIPEDIA) OF THE ESTUARINE AND MARINE AREAS OF THE PORT OF RECIFE (PERNAMBUCO, BRAZIL);BARNACLES;;;;;;;;;;;;;;;;;;;;;
1312;AMARAL FMD, 2009, CAH BIOL MAR;2009;CHECKLIST AND MORPHOMETRY OF BENTHIC CNIDARIANS FROM THE FERNANDO DE NORONHA ARCHIPELAGO, BRAZIL;BRAZILIAN CNIDARIAN DIVERSITY;;;;;;;;;;;;;;;;;;;;;
1318;BARLETTA M, 2009, J COAST RES;2009;LIVING AND NON-LIVING RESOURCES EXPLOITATION IN A TROPICAL SEMI-ARID ESTUARY;ESTUARINE ECOLOGY;;;;;;;;;;;;;;;;;;;;;
1319;PELLEGRINI JAC, 2009, J COAST RES;2009;A METHOD FOR THE CLASSIFICATION OF MANGROVE FORESTS AND SENSITIVITY/VULNERABILITY ANALYSIS;PHYTOSSOCIOLOGY;;;;;;;;;;;;;;;;;;;;;
1320;MURILLO VC, 2009, J COAST RES;2009;NEARSHORE SEDIMENTS AND COASTAL EVOLUTION OF PARAIBA DO SUL RIVER DELTA, RIO DE JANEIRO, BRAZIL.;BEACH RIDGES STRANDPLAIN;;;;;;;;;;;;;;;;;;;;;
1321;SILVA IR, 2009, J COAST RES;2009;GEOENVIRONMENTAL CHARACTERIZATION AND URBANIZATION OF THE BEACHES ON THE ISLANDS OF TINHARE AND BOIPEBA, SOUTH COAST OF THE STATE OF BAHIA, BRAZIL;TOURISM;;;;;;;;;;;;;;;;;;;;;
1325;CABRAL IPS, 2009, WSCG 2009, COMMUNICATION PAPERS PROCEEDINGS;2009;WEB GIS BY AJAX FOR ANALYSIS AND CONTROL OF ENVIRONMENTAL DATA;CORAL REEFS;;;;;;;;;;;;;;;;;;;;;
